meta-llama/llama-4-scout       24691  1536  1086  0.00048    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
mistralai/voxtral-small-24b-2507  8625  1675  1317  0.00056    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Mistral]
mistralai/voxtral-small-24b-2507  7597  1675  1131  0.00036    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Mistral]
stepfun/step-3.5-flash         45421  1753  4000  0.00138    ✗      ✗     ✗      ✗      ✗       | ✗            ✗        ✗      | não   | ok | ✗ [SiliconFlow]
stepfun/step-3.5-flash         41720  1753  4000  0.00138    ✗      ✗     ✗      ✗      ✗       | ✗            ✗        ✗      | não   | ok | ✗ [SiliconFlow]
meta-llama/llama-3.3-70b-instruct 13871  1728  1003  0.00088    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Parasail]
meta-llama/llama-3.3-70b-instruct 71959  1727  1022  0.00050    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
meta-llama/llama-3.2-3b-instruct   684     0     1  0.00000    ✓      ✗     ✗      ✗      ✗       | ✗            ✗        ✗      | não   | ok | ✗ [Cloudflare]
meta-llama/llama-3.2-3b-instruct 11488  1728  1584  0.00061    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✗ [Parasail]
z-ai/glm-4.7-flash             39453  1670  4000  0.00170    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✗ [Cloudflare]
z-ai/glm-4.7-flash             24883  1670  1480  0.00069    ✓      ✓     ✓      ✗      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Cloudflare]
nvidia/nemotron-3-super-120b-a12b 28938  1688  1462  0.00073    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
nvidia/nemotron-3-super-120b-a12b 39632  1688  2593  0.00118    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
bytedance-seed/seed-2.0-mini   17608  1792  1850  0.00092    ✓      ✓     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Seed]
bytedance-seed/seed-2.0-mini   15099  1792  1703  0.00086    ✓      ✓     ✓      ✗      ✓       | ✓            ✓        ✓      | não   | ** | ✓ [Seed]
google/gemini-2.5-flash-lite    8203  1576  3388  0.00151    ✓      ✓     ✗      ✗      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Google]
google/gemini-2.5-flash-lite    7521  1576  2450  0.00114    ✓      ✓     ✗      ✓      ✓       | ✓            ✗        ✓      | não   | ok | ✓ [Google]
openai/gpt-4.1-nano             8362  1524  1200  0.00063    ✗      ✓     ✓      ✗      ✓       | ✓            ✗        ✓      | não   | ok | ✓ [OpenAI]
openai/gpt-4.1-nano            ERRO rede/timeout The operation was aborted due to timeout
deepseek/deepseek-v3.2         47555  1751  1500  0.00086    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [StreamLake]
deepseek/deepseek-v3.2         54168  1751  1682  0.00060    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [StreamLake]
qwen/qwen-2.5-72b-instruct     72397  1723  1228  0.00111    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
qwen/qwen-2.5-72b-instruct     70149  1723  1287  0.00114    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
meta-llama/llama-3.1-70b-instruct 19743  1727   764  0.00100    ✓      ✗     ✗      ✗      ✓       | ✓            ✗        ✗      | não   | ok | ✓ [DeepInfra]
meta-llama/llama-3.1-70b-instruct 31026  1727  1310  0.00121    ✓      ✗     ✗      ✗      ✓       | ✓            ✗        ✗      | não   | ok | ✓ [DeepInfra]
qwen/qwen3-vl-32b-instruct     38588  1723  2322  0.00115    ✓      ✗     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Alibaba]
qwen/qwen3-vl-32b-instruct     28425  1723  2134  0.00107    ✓      ✗     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Alibaba]
google/gemma-3-27b-it          67230  1585  1233  0.00032    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
google/gemma-3-27b-it          19123  1585   818  0.00049    ✓      ✓     ✗      ✓      ✓       | ✓            ✗        ✗      | não   | ok | ✓ [Parasail]
qwen/qwen3-8b                  60785  1727  3631  0.00185    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Alibaba]
qwen/qwen3-8b                  29430  1727  1738  0.00099    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Alibaba]
qwen/qwen3-vl-8b-instruct      14930  1723  2026  0.00112    ✓      ✗     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Alibaba]
qwen/qwen3-vl-8b-instruct      14950  1723  2060  0.00114    ✓      ✗     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Alibaba]
qwen/qwen3.8-flash             14717  1603  1037  0.00073    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✗ [Alibaba]
qwen/qwen3.8-flash             14274  1603   967  0.00049    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✗ [Alibaba]
qwen/qwen3-30b-a3b             20425  1724  1787  0.00110    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
qwen/qwen3-30b-a3b             21733  1724  1713  0.00106    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
tencent/hy3                    18894  1864  1879  0.00135    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [GMICloud]
tencent/hy3                    25754  1864  1837  0.00122    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Tencent]
qwen/qwen3-235b-a22b-2507      65720  1723  1725  0.00075    ✓      ✓     ✓      ✗      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [GMICloud]
qwen/qwen3-235b-a22b-2507      60027  1723  1720  0.00063    ✓      ✓     ✓      ✗      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [GMICloud]
mistralai/mistral-small-3.1-24b-instruct  1865     0     1  0.00000    ✗      ✗     ✗      ✗      ✗       | ✗            ✗        ✗      | não   | ok | ✗ [Cloudflare]
mistralai/mistral-small-3.1-24b-instruct  2932     0     1  0.00000    ✓      ✗     ✗      ✗      ✗       | ✗            ✗        ✗      | não   | ok | ✗ [Cloudflare]
tencent/hunyuan-a13b-instruct  20434  1730   672  0.00063    ✗      ✗     ✗      ✗      ✓       | ✓            ✗        ✗      | não   | ** | ✗ [SiliconFlow]
tencent/hunyuan-a13b-instruct  22868  1730   635  0.00060    ✗      ✗     ✓      ✗      ✓       | ✓            ✗        ✗      | não   | ** | ✗ [SiliconFlow]
cohere/command-r-08-2024       21160  1601   987  0.00083    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Cohere]
cohere/command-r-08-2024       34315  1601   918  0.00079    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Cohere]
openai/gpt-4o-mini             11044  1524   731  0.00067    ✓      ✓     ✗      ✗      ✓       | ✓            ✗        ✗      | não   | ok | ✓ [Azure]
openai/gpt-4o-mini             15388  1524   953  0.00069    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Azure]
openai/gpt-4o-mini-2024-07-18   7587  1524  1216  0.00096    ✓      ✓     ✗      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [OpenAI]
openai/gpt-4o-mini-2024-07-18   7827  1524  1122  0.00080    ✓      ✓     ✗      ✗      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [OpenAI]
qwen/qwen3-vl-30b-a3b-instruct 17822  1723  2161  0.00135    ✓      ✗     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Alibaba]
qwen/qwen3-vl-30b-a3b-instruct 134388  1723  3876  0.00258    ✓      ✗     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
upstage/solar-pro-3            17347  1816  2356  0.00168    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Upstage]
upstage/solar-pro-3            12845  1816  1825  0.00136    ✓      ✗     ✗      ✗      ✓       | ✗            ✓        ✗      | não   | ok | ✗ [Upstage]
mistralai/mistral-saba          8318  1687  1399  0.00118    ✓      ✗     ✓      ✗      ✓       | ✓            ✗        ✗      | não   | ok | ✓ [Mistral]
mistralai/mistral-saba          7865  1687  1307  0.00082    ✓      ✗     ✗      ✗      ✓       | ✓            ✗        ✗      | não   | ok | ✓ [Mistral]
microsoft/wizardlm-2-8x22b     61642  1775  1748  0.00218    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Novita]
microsoft/wizardlm-2-8x22b     139538  1775  1664  0.00213    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Novita]
google/gemma-2-27b-it          36535  1550  2048  0.00234    ✓      ✗     ✗      ✗      ✓       | ✗            ✓        ✗      | não   | ok | ✗ [NextBit]
google/gemma-2-27b-it          21182  1550  1217  0.00180    ✓      ✗     ✓      ✗      ✓       | ✗            ✓        ✗      | não   | ok | ✗ [NextBit]
meta-llama/llama-4-maverick    51493  1536  1209  0.00115    ✓      ✓     ✓      ✗      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [DigitalOcean]
meta-llama/llama-4-maverick    36510  1536  1056  0.00104    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DigitalOcean]
inception/mercury-2             2442  1475  1165  0.00124    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Inception]
inception/mercury-2             2885  1474  1367  0.00139    ✓      ✗     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Inception]
mancer/weaver                  56652  2154  2459  0.00270    ✓      ✗     ✗      ✗      ✓       | ✗            ✓        ✗      | não   | ok | ✗ [Mancer 2]
